,home_team,home_goals,away_goals,away_team,wcm,dif_inter_match,dif_inter_match_won,dif_inter_match_lost,dif_inter_match_tie,dif_inter_goals_sco,dif_inter_goals_con,dif_wc_match,dif_wc_match_won,dif_wc_match_lost,dif_wc_match_tied,dif_wc_goals_sco,dif_wc_goals_con,status
0,Spain,1,0,Czechoslovakia,0,488.0,315.0,60.0,113.0,1061.0,346.0,33.0,19.0,4.0,10.0,55.0,27.0,1
1,Portugal,1,0,Czechoslovakia,0,438.0,222.0,113.0,103.0,748.0,466.0,0.0,3.0,-4.0,1.0,5.0,-10.0,1
2,Northern Ireland,7,0,Wales,0,-373.0,-164.0,-136.0,-73.0,-544.0,-409.0,8.0,2.0,4.0,2.0,9.0,19.0,1
3,Italy,4,2,Switzerland,0,-438.0,-120.0,-259.0,-59.0,-595.0,-936.0,46.0,33.0,0.0,13.0,78.0,13.0,1
4,Portugal,2,0,France,0,-191.0,-101.0,-61.0,-29.0,-388.0,-353.0,-36.0,-20.0,-9.0,-7.0,-71.0,-42.0,1
5,Germany,0,2,Italy,0,517.0,343.0,106.0,68.0,1402.0,629.0,26.0,22.0,5.0,-1.0,98.0,48.0,3
6,France,3,3,Switzerland,0,12.0,120.0,-106.0,-2.0,269.0,-264.0,29.0,22.0,2.0,5.0,70.0,13.0,2
7,England,5,2,Scotland,0,558.0,393.0,29.0,136.0,1538.0,362.0,46.0,25.0,7.0,14.0,66.0,23.0,1
8,Netherlands,1,1,Italy,0,411.0,230.0,125.0,56.0,1032.0,573.0,-33.0,-18.0,-6.0,-9.0,-42.0,-29.0,2
9,France,1,6,Belgium,0,53.0,68.0,-28.0,13.0,78.0,-104.0,18.0,14.0,0.0,4.0,52.0,5.0,3
10,Switzerland,2,2,Hungary,0,502.0,165.0,221.0,116.0,634.0,803.0,5.0,-3.0,3.0,5.0,-37.0,7.0,2
11,Netherlands,2,2,Belgium,0,14.0,58.0,-56.0,12.0,246.0,-203.0,2.0,7.0,-8.0,3.0,18.0,-24.0,2
12,Switzerland,0,5,Germany,0,-79.0,-223.0,153.0,-9.0,-807.0,307.0,-72.0,-55.0,-5.0,-12.0,-176.0,-61.0,3
13,Germany,3,3,England,0,-102.0,-60.0,2.0,-44.0,-213.0,58.0,40.0,38.0,3.0,-1.0,135.0,61.0,2
14,Belgium,1,3,Republic of Ireland,0,484.0,259.0,147.0,78.0,1065.0,762.0,35.0,18.0,16.0,1.0,58.0,62.0,3
15,France,2,3,Czechoslovakia,0,629.0,323.0,174.0,132.0,1136.0,819.0,36.0,23.0,5.0,8.0,76.0,32.0,3
16,Austria,0,0,England,0,-726.0,-481.0,-65.0,-180.0,-1793.0,-501.0,-40.0,-17.0,-6.0,-17.0,-48.0,-17.0,2
17,Belgium,3,1,Netherlands,0,-14.0,-58.0,56.0,-12.0,-246.0,203.0,-2.0,-7.0,8.0,-3.0,-18.0,24.0,1
18,France,0,2,Scotland,0,389.0,230.0,78.0,81.0,787.0,463.0,43.0,30.0,7.0,6.0,95.0,36.0,3
19,Argentina,1,1,Uruguay,0,69.0,128.0,-84.0,25.0,386.0,-115.0,25.0,19.0,3.0,3.0,50.0,19.0,2
20,Belgium,1,2,France,0,-53.0,-68.0,28.0,-13.0,-78.0,104.0,-18.0,-14.0,0.0,-4.0,-52.0,-5.0,3
21,Japan,3,3,China PR,0,469.0,282.0,94.0,93.0,989.0,453.0,21.0,5.0,11.0,5.0,20.0,29.0,2
22,Belgium,2,1,Portugal,0,138.0,33.0,89.0,16.0,310.0,457.0,18.0,6.0,9.0,3.0,19.0,37.0,1
23,Hungary,6,2,Netherlands,0,-475.0,-275.0,-87.0,-113.0,-1071.0,-440.0,-18.0,-12.0,3.0,-9.0,1.0,9.0,1
24,Czechoslovakia,2,0,Spain,0,-488.0,-315.0,-60.0,-113.0,-1061.0,-346.0,-33.0,-19.0,-4.0,-10.0,-55.0,-27.0,1
25,Sweden,1,0,Switzerland,0,-424.0,-140.0,-193.0,-91.0,-598.0,-759.0,14.0,7.0,2.0,5.0,30.0,9.0,1
26,Finland,1,6,Denmark,0,-574.0,-334.0,-123.0,-117.0,-1246.0,-563.0,-20.0,-9.0,-6.0,-5.0,-30.0,-26.0,3
27,Norway,3,0,Switzerland,0,-518.0,-211.0,-192.0,-115.0,-836.0,-754.0,-29.0,-10.0,-14.0,-5.0,-43.0,-56.0,1
28,Denmark,6,1,Sweden,0,439.0,228.0,128.0,83.0,886.0,548.0,-31.0,-10.0,-13.0,-8.0,-50.0,-47.0,1
29,Italy,2,3,Spain,0,-309.0,-232.0,-39.0,-38.0,-789.0,-199.0,20.0,15.0,-1.0,6.0,29.0,5.0,3
30,Brazil,3,2,France,0,101.0,176.0,-88.0,13.0,559.0,-246.0,43.0,39.0,-1.0,5.0,109.0,28.0,1
31,Argentina,3,1,Yugoslavia,0,768.0,436.0,133.0,199.0,1436.0,689.0,44.0,27.0,10.0,7.0,77.0,47.0,1
32,Brazil,4,1,Yugoslavia,0,746.0,511.0,85.0,150.0,1697.0,545.0,72.0,57.0,5.0,10.0,169.0,59.0,1
33,Brazil,4,3,United States,0,216.0,267.0,-92.0,41.0,962.0,-73.0,76.0,65.0,-1.0,12.0,192.0,43.0,1
34,Denmark,6,3,Germany,0,-64.0,-135.0,88.0,-17.0,-519.0,96.0,-89.0,-58.0,-16.0,-15.0,-196.0,-99.0,1
35,Belgium,2,3,Czechoslovakia,0,576.0,255.0,202.0,119.0,1058.0,923.0,18.0,9.0,5.0,4.0,24.0,27.0,3
36,Norway,1,0,Denmark,0,-533.0,-299.0,-127.0,-107.0,-1124.0,-543.0,-12.0,-7.0,-3.0,-2.0,-23.0,-18.0,1
37,Belgium,2,2,Sweden,0,383.0,192.0,115.0,76.0,789.0,599.0,-3.0,1.0,0.0,-4.0,-12.0,-1.0,2
38,Germany,5,3,Hungary,0,581.0,388.0,68.0,125.0,1441.0,496.0,77.0,52.0,8.0,17.0,139.0,68.0,1
39,Sweden,0,3,Poland,0,-443.0,-206.0,-112.0,-125.0,-811.0,-537.0,17.0,3.0,6.0,8.0,34.0,28.0,3
40,England,5,1,Northern Ireland,0,664.0,509.0,1.0,154.0,1882.0,248.0,56.0,26.0,14.0,16.0,78.0,41.0,1
41,Scotland,1,1,Wales,0,-267.0,-48.0,-164.0,-55.0,-200.0,-523.0,18.0,3.0,11.0,4.0,21.0,37.0,2
42,Poland,6,0,Latvia,0,755.0,346.0,206.0,203.0,1354.0,951.0,34.0,16.0,13.0,5.0,46.0,45.0,1
43,Germany,1,1,Norway,0,597.0,434.0,39.0,124.0,1643.0,447.0,101.0,65.0,19.0,17.0,219.0,117.0,2
44,Switzerland,6,3,Netherlands,0,27.0,-110.0,134.0,3.0,-437.0,363.0,-13.0,-15.0,6.0,-4.0,-36.0,16.0,1
45,Wales,0,4,England,0,-291.0,-345.0,135.0,-81.0,-1338.0,161.0,-64.0,-28.0,-18.0,-18.0,-87.0,-60.0,3
46,Portugal,0,1,Spain,0,-50.0,-93.0,53.0,-10.0,-313.0,120.0,-33.0,-16.0,-8.0,-9.0,-50.0,-37.0,3
47,France,2,2,Belgium,0,53.0,68.0,-28.0,13.0,78.0,-104.0,18.0,14.0,0.0,4.0,52.0,5.0,2
48,Italy,5,0,France,0,-450.0,-240.0,-153.0,-57.0,-864.0,-672.0,17.0,11.0,-2.0,8.0,8.0,0.0,1
49,France,1,2,Czechoslovakia,0,629.0,323.0,174.0,132.0,1136.0,819.0,36.0,23.0,5.0,8.0,76.0,32.0,3
50,France,1,0,Germany,0,-67.0,-103.0,47.0,-11.0,-538.0,43.0,-43.0,-33.0,-3.0,-7.0,-106.0,-48.0,1
51,Scotland,2,0,England,0,-558.0,-393.0,-29.0,-136.0,-1538.0,-362.0,-46.0,-25.0,-7.0,-14.0,-66.0,-23.0,1
52,Netherlands,3,2,Belgium,0,14.0,58.0,-56.0,12.0,246.0,-203.0,2.0,7.0,-8.0,3.0,18.0,-24.0,1
53,Switzerland,1,1,Italy,0,438.0,120.0,259.0,59.0,595.0,936.0,-46.0,-33.0,0.0,-13.0,-78.0,-13.0,2
54,Hungary,6,2,Switzerland,0,-502.0,-165.0,-221.0,-116.0,-634.0,-803.0,-5.0,3.0,-3.0,-5.0,37.0,-7.0,1
55,Portugal,0,2,Italy,0,259.0,139.0,92.0,28.0,476.0,319.0,-53.0,-31.0,-7.0,-15.0,-79.0,-42.0,3
56,Paraguay,0,1,Argentina,0,-545.0,-412.0,-12.0,-121.0,-1330.0,-288.0,-54.0,-36.0,-13.0,-5.0,-107.0,-55.0,3
57,Spain,0,0,Italy,0,309.0,232.0,39.0,38.0,789.0,199.0,-20.0,-15.0,1.0,-6.0,-29.0,-5.0,2
58,Wales,3,2,Northern Ireland,0,373.0,164.0,136.0,73.0,544.0,409.0,-8.0,-2.0,-4.0,-2.0,-9.0,-19.0,1
