review_text,review_score
"It&#146;s the best looking, most enticingly put together football game this year, but playing it is about as enjoyable as watching The Jets get mauled the first few weeks of this season.",8
"The Nintendo LABO Variety Kit has some fun and satisfying aspects to it, but it lacks any real longevity. And now I’m faced with the ultimate dilemma – where the heck will I store all these cardboard projects now?",8
"But as far as sound investments go, buying up Final Fantasy XII, Suikoden V, Shin Megami Tensei: Nocturne and Dragon Quest VIII will get you a lot more bang for considerably less money -- you might even have enough left over to go grab one of the oft-overlooked Shadow Hearts games.",8
"Starts out with a bang, but then quickly falls to a whimper -- that whimper being the controls. Never in all my life would I have thought it possible to make a game that is so impossible to control with any degree of efficiency.",7
"Valkyria Revolution tells a decent tale of war, but the strength of that story is dulled by overlong, boring, and poorly animated cutscenes. It sacrifices the unique historical setting and art style of the Valkyria Chronicles series proper in favor of generic JRPG elements that fail to leave a strong impression, and its hack-and-slash combat offers little in the way of strategy and ruins its own flow with an poorly matched magic system.",6
"Simple, childish fun that never tries to be more than it can be, and younger kids will have a great time helping their favourite superheroes save the world. Anyone who has hit puberty, on the too light on real gameplay for your tastes.other hand, should steer clear as Super Hero Squad will be far.",7
"It’s easy to list all of the ways in which RPG Maker Fes is limited in terms of scope, tools, available assets, and possibilities—but it’s also hard to deny how fun it can be when you’re crafting something within the parameters of those limitations. Those looking for a deep RPG creation program will be sorely disappointing, but for players looking for a first step in that idea, or those preferring to craft something a little less grandiose, this is still an exceptionally cool—and unexpected—release on our shores.",6
"It’s nice that no feeble attempt was made to force the stylus into the pinball format, but it would have been better to see some more multiplayer options and maybe just a couple more tables. Really, that’s the only thing wrong with this otherwise fantastic title.",7
"The good thing is, the game is priced as a value title, and for puzzle fanatics, or for fans of the PSP titles, this is a great package. But honestly, playing Lumines made me long for the intricate simplicity of Tetris, and it's just a reminder that perfection, once achieved, can be hard to top.",6
"The best Evil Dead game to be released to date. For the low price they are asking any Evil Dead fan or action gamer needs to check this out. Ash is back with some Bubba Ho-Tep style. Hail to the king, baby!",7
"Commandos 2: HD Remaster graphically upgrades a beloved tactical classic and gives a fresh coat of paint to a fairly obtuse set of controls. While it is shipping with a few bugs, all of the pieces that made this game a classic are present and accounted for. With just a little more polish we’ll be able to “Consider it done, boss”.",8
"Track Lab is a well-crafted experience. It looks good, sounds even better and is wonderfully intuitive, even for people with no prior knowledge of music creation. Its definitely worth your time if you are interested in music or puzzle games. Its a good VR title, but the ability to share your music would push it over from good to great.",8
"Neither a full horror experience nor a complex puzzle game, Close to the Sun is a narrative adventure with an amazing atmosphere plagued by issues in both gameplay and storytelling. Despite the lack of originality this is definitely a step forward for the Italian team of Storm in a Teacup and an appealing world to explore.",6
"This is probably the darkest, weirdest and most unique Zelda ever released, and it's still as good as it was on N64. The visual improvements and the gameplay tweaks are reason enough to go back to it, if you haven't played it before.",10
"Overall Hellbound meets expectations as a retro style 90’s Shooter. Whilst it does not innovate as much as some people would like, this game has enough about it to be worth the pickup.",8
"If you like RTS management then this game does very little wrong but if story is something you want, I can not recommend RailGrade. Well, unless corporate hoo-ha is something that entertains you then this has a lot of that.",8
