temperature,humidity,wind_speed,precipitation,pressure,date,hour,weather
-3.7,50,13.0,0.0,1018.3,2015-01-01,0,Clear Sky
-3.8,49,14.1,0.0,1017.8,2015-01-01,1,Clear Sky
-3.9,49,14.1,0.0,1017.1,2015-01-01,2,Clear Sky
-4.0,52,14.7,0.0,1016.7,2015-01-01,3,Clear Sky
-4.0,52,15.6,0.0,1016.2,2015-01-01,4,Clear Sky
-4.0,50,16.1,0.0,1016.2,2015-01-01,5,Clear Sky
-4.1,48,16.2,0.0,1016.5,2015-01-01,6,Clear Sky
-4.2,46,13.5,0.0,1017.0,2015-01-01,7,Clear Sky
-4.4,45,10.0,0.0,1017.4,2015-01-01,8,Clear Sky
-4.3,45,10.6,0.0,1017.5,2015-01-01,9,Clear Sky
-3.0,38,11.9,0.0,1017.8,2015-01-01,10,Clear Sky
-1.7,32,17.9,0.0,1018.0,2015-01-01,11,Clear Sky
-0.7,30,19.3,0.0,1016.7,2015-01-01,12,Clear Sky
0.3,29,21.3,0.0,1015.4,2015-01-01,13,Clear Sky
1.0,29,20.9,0.0,1013.7,2015-01-01,14,Clear Sky
2.1,31,21.3,0.0,1012.4,2015-01-01,15,Mainly Clear
2.4,35,20.5,0.0,1011.9,2015-01-01,16,Clear Sky
1.9,42,17.1,0.0,1011.6,2015-01-01,17,Clear Sky
0.9,47,14.3,0.0,1011.5,2015-01-01,18,Clear Sky
0.5,51,17.9,0.0,1011.6,2015-01-01,19,Clear Sky
0.3,53,19.4,0.0,1011.5,2015-01-01,20,Clear Sky
0.2,54,19.9,0.0,1011.7,2015-01-01,21,Clear Sky
0.1,55,19.6,0.0,1011.7,2015-01-01,22,Clear Sky
0.1,56,19.0,0.0,1011.9,2015-01-01,23,Mainly Clear
-0.1,57,18.4,0.0,1012.7,2015-01-02,0,Overcast
-0.3,58,15.6,0.0,1012.6,2015-01-02,1,Overcast
-0.5,59,14.5,0.0,1012.7,2015-01-02,2,Partly Cloudy
-0.5,62,14.2,0.0,1013.2,2015-01-02,3,Partly Cloudy
-0.6,62,14.7,0.0,1013.8,2015-01-02,4,Overcast
-0.6,61,14.6,0.0,1014.0,2015-01-02,5,Overcast
-0.6,61,15.4,0.0,1014.6,2015-01-02,6,Overcast
-0.6,61,14.7,0.0,1016.0,2015-01-02,7,Mainly Clear
-0.7,61,14.5,0.0,1017.1,2015-01-02,8,Mainly Clear
-0.6,61,14.5,0.0,1018.0,2015-01-02,9,Partly Cloudy
0.8,59,14.8,0.0,1019.1,2015-01-02,10,Partly Cloudy
2.3,51,16.3,0.0,1019.5,2015-01-02,11,Mainly Clear
3.2,48,19.8,0.0,1019.0,2015-01-02,12,Overcast
4.0,45,19.9,0.0,1018.9,2015-01-02,13,Partly Cloudy
4.3,44,18.3,0.0,1018.5,2015-01-02,14,Partly Cloudy
5.3,41,18.1,0.0,1019.2,2015-01-02,15,Partly Cloudy
5.2,42,14.8,0.0,1019.9,2015-01-02,16,Clear Sky
4.3,47,10.1,0.0,1020.8,2015-01-02,17,Clear Sky
2.5,55,8.0,0.0,1021.6,2015-01-02,18,Clear Sky
0.9,62,8.0,0.0,1022.7,2015-01-02,19,Mainly Clear
-0.3,68,9.4,0.0,1023.7,2015-01-02,20,Overcast
-1.3,74,8.8,0.0,1024.6,2015-01-02,21,Overcast
-2.0,77,7.4,0.0,1025.5,2015-01-02,22,Overcast
-2.4,80,7.5,0.0,1026.4,2015-01-02,23,Overcast
-2.7,80,7.1,0.0,1026.5,2015-01-03,0,Overcast
-2.9,81,8.4,0.0,1027.3,2015-01-03,1,Overcast
-2.6,79,8.8,0.0,1027.6,2015-01-03,2,Overcast
-2.6,77,8.4,0.0,1028.0,2015-01-03,3,Overcast
-2.8,78,7.4,0.0,1028.7,2015-01-03,4,Overcast
-2.4,77,6.2,0.0,1029.8,2015-01-03,5,Overcast
-2.8,79,5.0,0.0,1030.2,2015-01-03,6,Overcast
-3.3,82,6.2,0.0,1030.6,2015-01-03,7,Overcast
-2.5,80,9.8,0.0,1031.1,2015-01-03,8,Overcast
-1.6,79,12.2,0.0,1031.0,2015-01-03,9,Overcast
0.5,71,11.6,0.0,1031.8,2015-01-03,10,Overcast
1.7,66,11.9,0.0,1031.6,2015-01-03,11,Overcast
2.7,63,15.2,0.0,1030.7,2015-01-03,12,Overcast
3.4,66,12.1,0.0,1029.5,2015-01-03,13,Overcast
3.3,72,8.4,0.3,1029.4,2015-01-03,14,Slight Snow Fall
1.9,91,12.6,2.2,1028.2,2015-01-03,15,Heavy Snow Fall
1.9,95,13.0,3.0,1027.6,2015-01-03,16,Heavy Snow Fall
